Sponsor Name,Site Name,County,Street,City,Zip Code,Start Date,End Date,Meals,Days,Time,ContactPhone,Email,Notes
Fort Wayne Community Schools,Whitney M Young Early Childhood,Allen,1026 E Pontiac St,Fort Wayne,46803,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Brentwood Elementary,Allen,3710 Stafford Dr,Fort Wayne,46805,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Forest Park Elementary,Allen,2004 Alabama Ave,Fort Wayne,46805,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Abbett Elementary,Allen,4325 Smith St,Fort Wayne,46806,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Irwin Elementary,Allen,3500 S Anthony Blvd,Fort Wayne,46806,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Levan Scott Elementary School,Allen,950 E Fairfax Ave,Fort Wayne,46806,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Weisser Park Elementary,Allen,902 Colerick Sr,Fort Wayne,46806,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Fairfield Elementary,Allen,2825 Fairfield Ave,Fort Wayne,46807,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Harrison Hill Elementary,Allen,355 Cornell Circle,Fort Wayne,46807,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,South Wayne Elementary,Allen,810 Cottage St,Fort Wayne,46807,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Bloomingdale Elementary,Allen,1300 Orchard St,Fort Wayne,46808,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Franke Park Elementary,Allen,828 Mildred Ave,Fort Wayne,46808,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Price Elementary,Allen,1901 W State Blvd,Fort Wayne,46808,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Indian Village Elementary,Allen,3835 Wenonah,Fort Wayne,46809,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Waynedale Elementary,Allen,7201 Elzey St,Fort Wayne,46809,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
"Southwest Allen Co Schools, MSD of",Chestnut Hills Apartment,Allen,940 Steinman Drive,Fort Wayne,46814,3/16/2020,5/28/2020,Brk Lun,Contact school for more information,Contact school for more information,(260) 431-2282,bbrown@sacs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Croninger Elementary,Allen,6700 Trier Rd,Fort Wayne,46815,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Glenwood Park Elementary,Allen,4501 Vance Ave,Fort Wayne,46815,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Haley Elementary,Allen,2201 Maplecrest Rd,Fort Wayne,46815,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
East Allen County Schools,Southwick Elementary School,Allen,6500 Wayne Trace,Fort Wayne,46816,3/17/2020,5/1/2020,Brk Lun,T,2:00 PM to 6:00 PM,(260) 446-0100,dkrleski@eacs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Washington Center Elementary,Allen,1936 W Wallen Rd,Fort Wayne,46818,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Maplewood Elementary,Allen,2200 Maplewood Rd,Fort Wayne,46819,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Holland Elementary,Allen,7000 Red Haw Dr,Fort Wayne,46825,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Lincoln Elementary,Allen,1001 E Cook Rd,Fort Wayne,46825,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Northcrest Elementary,Allen,5301 Archwood Lane,Fort Wayne,46825,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Arlington Elementary,Allen,8118 St Joe Center Rd,Fort Wayne,46835,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Harris Elementary,Allen,4501 Thorngate Dr,Fort Wayne,46835,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,Shambaugh Elementary,Allen,5320 Rebecca,Fort Wayne,46835,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
Fort Wayne Community Schools,St. Joe Central Elementary,Allen,6341 St Joe Center Rd,Fort Wayne,46835,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:30 AM to 1:30 PM,(260) 467-2055,candice.hagar@fwcs.k12.in.us,School Webpage with Meal Info
"St Rose of Lima, Monroeville",St Rose of Lima,Allen,401 Monroe Street,Monroeville,46773-9306,3/18/2020,5/29/2020,Brk Lun,Contact school for more information,Contact school for more information,(260) 623-3447,cafeteria@strosemonroeville.org,School Webpage with Meal Info
St Joseph School,St. Joseph Catholic School,Allen,2211 Brooklyn Ave,Fort Wayne,46802-6700,3/16/2020,5/31/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(260) 432-4000,cjordan@saintjosephcatholicfw.org,School Webpage with Meal Info
Concordia Lutheran Grade School,Concordia Lutheran Grade School,Allen,4245 Lake Ave,Fort Wayne,46815-7219,3/18/2020,4/30/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(260) 426-9922,bjohnson@clscubs.org,
Bartholomew Consolidated Schools,Lillian Schmitt Elementary School,Bartholomew,2675 California,Columbus,47201,3/23/2020,7/31/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(812) 376-4462,mccroryj@bcsc.k12.in.us,
Bartholomew Consolidated Schools,Clifty Creek Elementary School,Bartholomew,4625 E 50 N,Columbus,47203,3/23/2020,7/31/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(812) 376-4462,moona@bcsc.k12.in.us,
Bartholomew Consolidated Schools,Frances Smith Elementary School,Bartholomew,4505 waycross dr,columbus,47203,3/23/2020,7/31/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(812) 376-4462,burtonb@bcsc.k12.in.us,
Flat Rock-Hawcreek School Corp,Hope Community Center,Bartholomew,543 Washington St,Hope,47246,3/24/2020,4/29/2020,Brk Lun,MWF,11:15 AM to 11:45 AM,(812) 546-4499,cchdirector@communitycenterofhope.org,
Flat Rock-Hawcreek School Corp,Hope Elementary,Bartholomew,9423 N ST RD 9,HOPE,47246,3/30/2020,4/29/2020,Brk Lun,MWF,11:00 AM to 12:30 PM,(812) 546-4421,,
Bartholomew Consolidated Schools,Taylorsville Elementary School,Bartholomew,9711 Walnut St,Taylorsville,47280,3/23/2020,7/31/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(812) 376-4462,bennettm@bcsc.k12.in.us,
St Peters Lutheran School,St. Peter's Lutheran School,Bartholomew,719 5th St.,Columbus,47201-6306,3/23/2020,4/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(812) 372-5266,lgarrison@stpeters-columbus.org,School Webpage with Meal Info
Benton Community School Corp,Boswell Elementary School,Benton,414 West Main Street,Boswell,47921-8557,3/18/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 884-0654,lstepp@benton.k12.in.us,School Webpage with Meal Info
Benton Community School Corp,Otterbein Elementary School,Benton,111 West Oxford Street,Otterbein,47970-0368,3/18/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 884-0654,lstepp@benton.k12.in.us,School Webpage with Meal Info
Benton Community School Corp,Prairie Crossing Elementary School,Benton,2758 S 400E,Oxford,47971-8609,3/18/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 884-0654,lstepp@benton.k12.in.us,School Webpage with Meal Info
Benton Community School Corp,Benton Central Jr-Sr High School,Benton,4241 E 300S,Oxford,47971-8633,3/18/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 884-0654,lstepp@benton.k12.in.us,School Webpage with Meal Info
Blackford County Schools,Blackford Jr./Sr. High School,Blackford,2392 N SR 3,Hartford City,47348,3/26/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(765) 348-7564,tteer@blackfordschools.org,
Blackford County Schools,Montpelier School,Blackford,107 E Monroe St,Montpelier,47359,3/25/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(765) 728-2402,nslentz@blackfordschools.org,
Blackford County Schools,North Side Elementary School,Blackford,400 E McDonald St,Hartford City,47348-1439,3/25/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(765) 348-7564,tsisler@blackfordschools.org,
Lebanon Community School,Perry Worth Elementary School,Boone,3900 E 300 S,Lebanon,46052,3/30/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(765) 894-5154,ricej@leb.k12.in.us,
Lebanon Community School,Stokes Elementary School,Boone,1005 Hendrick Drive,Lebanon,46052,3/13/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 894-5154,ricej@leb.k12.in.us,
Brown County Schools,Bean Blossom Trailer Court,Brown,Bean Blossom Trailer Court Road,Morgantwon,46160,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-6606,,
Brown County Schools,Helmsburg Elementary School,Brown,5378 Helmsburg School Road,Morgantown,46160,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-6651,cbelden@browncountyschools.com,
Brown County Schools,Sprunica Elementary School,Brown,3611 East Sprunica Rd,Nineveh,46164,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-6625,dsanders@broencountyschools.com,
Brown County Schools,Brown County High School,Brown,235 S School House Lane,Nashville,47448,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-5423,,
Brown County Schools,Forest Hill Apartments,Brown,184 Forest Hills Drive,Nashville,47448,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-6606,,
Brown County Schools,Van Buren Elementary School,Brown,4045 State Road 135 South,Nashville,47448,3/23/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 02:00 PM,(812) 988-6658,rback@browncountyschools.com,
Delphi Community School Corp,Delphi Community High School,Carroll,301 Armory Road,Delphi,46923,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 12:30 PM,(765) 564-3481,brownes@delphi.k12.in.us,
Logansport Community School Corp,Columbia Elementary School,Cass,20 East Columbia Street,Logansport,46947,3/17/2020,4/30/2020,Brk Lun,MTWRF,10:00 AM to 12:00 PM,(574) 753-3432,bennettli@lcsc.k12.in.us,
Logansport Community School Corp,Logansport High School,Cass,One Berry Lane,Logansport,46947,3/17/2020,5/1/2020,Brk Lun,MTWRF,10:00 AM to 12:00 PM,(574) 753-0441,helviem@lcsc.k12.in.us,
Pioneer Regional School Corp,Pioneer Jr.-Sr. High School,Cass,417 S Chicago St,Royal Center,46978,3/30/2020,5/23/2020,Brk Lun,Contact school for more information,Contact school for more information,(574) 643-3145,floras@pioneer.k12.in.us,School Webpage with Meal Info
Lewis Cass Schools,Lewis Cass High School,Cass,6422 E ST RD 218,Walton,46994,3/23/2020,5/30/2020,Brk Lun,MTWRF,10:00 AM to 12:00 PM,(574) 626-2511,spencerp@lewiscass.net,
West Clark Community Schools,Borden Elementary,Clark,301 West Street,Borden,47106,3/30/2020,4/30/2020,Lun,MTWRF,10:00 AM to 1:00 PM,(812) 248-7120,jsinclair@westclarkschools.com,School Webpage with Meal Info
Greater Clark County Schools,Pleasant Ridge Elementary School,Clark,1250 Monroe St.,Charlestown,47111,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(812) 256-7286,,
West Clark Community Schools,Henryville Elementary School,Clark,213 N. Ferguson,Henryville,47126,3/30/2020,4/30/2020,Lun,MTWRF,10:00 AM to 1:00 PM,(812) 248-7120,jsinclair@westclarkschools.com,School Webpage with Meal Info
Greater Clark County Schools,Bob Hedge Park,Clark,926 French Street,Jeffersonville,47130,3/16/2020,5/1/2020,Brk Lun,TWRFS,12:00 PM to 01:00 PM,(812) 283-0701,nturner@gccschools.com,
Greater Clark County Schools,Fetter Center,Clark,1613 East 10th Street,Jeffersonville,47130,3/16/2020,5/1/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(812) 283-0701,nturner@gccschools.com,
Greater Clark County Schools,Parkwood Elementary School,Clark,748 Spicewood Drive,Clarksville,47130,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(812) 283-0701,,
Greater Clark County Schools,Spring Hill Elementary School,Clark,201 E. 15th St.,Jeffersonville,47130,3/30/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(812) 288-4874,,
Greater Clark County Schools,New Washington High School,Clark,226 State Road 62 North,New Washington,47162,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(812) 283-0701,nturner@gccschools.com,
West Clark Community Schools,Silver Creek Elementary School,Clark,503 N. Indiana Ave.,Sellersburg,47172,3/30/2020,4/30/2020,Lun,MTWRF,10:00 AM to 1:00 PM,(812) 248-7120,jsinclair@westclarkschools.com,School Webpage with Meal Info
Clay Community Schools,Meridian Elementary School,Clay,410 North Meridian,Brazil,47834-2148,3/30/2020,5/22/2020,Brk Lun,T,9:00 AM to 1:00 PM,(812) 443-4461,wooleryp@clay.k12.in.us,School Webpage with Meal Info
Clay Community Schools,Forest Park Elementary School,Clay,800 South Alabama Street,Brazil,47834-3208,3/30/2020,5/22/2020,Brk Lun,T,9:00 AM to 1:00 PM,(812) 443-4461,wooleryp@clay.k12.in.us,School Webpage with Meal Info
Clay Community Schools,Clay City Elementary School,Clay,681 North Lankford Street,Clay City,47841-1255,3/30/2020,5/22/2020,Brk Lun,T,9:00 AM to 1:00 PM,(812) 443-4461,wooleryp@clay.k12.in.us,School Webpage with Meal Info
Community Schools of Frankfort,Blue Ridge Elementary School,Clinton,1900 S Jackson St,Frankfort,46041,3/16/2020,6/30/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 659-3233,goodee@frankfort.k12.in.us,
Community Schools of Frankfort,Frankfort High School,Clinton,One Maish Road,Frankfort,46041,3/16/2020,6/30/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 654-8845,FoustR@frankfort.k12.in.us,
Clinton Central School Corp,Clinton Central Elementary School,Clinton,725 North State Road 29,Michigantown,46057,3/18/2020,7/31/2020,Brk Sup,MW,04:30 PM to 06:00 PM,(765) 249-2244,tina.crum@clinton.k12.in.us,
Community Schools of Frankfort,Suncrest Elementary School,Clinton,1608 W Kyger Street,Frankfort,46041-9429,3/16/2020,6/30/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 659-6265,barnesm@frankfort.k12.in.us,
Crawford County Community Schools,West Crawford Elementary School,Crawford,5600 West Patoka School Road,Eckerty,47116,3/1/2020,8/1/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 338-2916,SHOWE@CCCS.K12.IN.US,
Crawford County Community Schools,English Elementary School,Crawford,608 E 5th Street,English,47118,3/30/2020,5/1/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 365-9412,,
Crawford County Community Schools,South Crawford Elementary School,Crawford,930 IN-62,Leavenworth,47137,3/1/2020,8/1/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 739-2210,BLAHUE@CCCS.K12.IN.US,
Crawford County Community Schools,Crawford County High School,Crawford,1130 S STATE ROAD 66,MARENGO,47140,3/30/2020,7/31/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 365-2125,LPURCELL@CCCS.K12.IN.US,
Crawford County Community Schools,Crawford County Middle School,Crawford,177 S SECOND STREET,MARENGO,47140,3/1/2020,8/1/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 365-2116,KBIRKLA1@CCCS.K12.IN.US,
Crawford County Community Schools,East Crawford Elementary School,Crawford,518 E. Speed Rd.,Milltown,47145,3/1/2020,8/1/2020,Brk Lun,M,12:00 PM to 01:00 PM,(812) 633-4335,KPEARSON@CCCS.K12.IN.US,
North Daviess Community Schools,North Daviess Elementary,Daviess,5498 E. State Road 58,Elnora,11004,3/16/2020,6/30/2020,Brk Lun,TR,11:00 AM to 1:00 PM,(812) 636-8000,stoner-timothy@aramark.com,School Webpage with Meal Info
Lawrenceburg Community School Corp,Central Elementary School,Dearborn,500 Short Street,Lawrenceburg,47025,3/30/2020,7/31/2020,Brk Lun,MTWRF,12:05 PM to 01:00 PM,(812) 537-7289,cquicksall@lburg.k12.in.us,
Decatur Co Family YMCA,Decatur Co Family YMCA,Decatur,1 YMCA Way,Greensburg,47240,3/23/2020,7/31/2020,Brk Lun,MR,12:00 PM to 12:30 PM,(812) 663-9622,annab@dcfymca.org,
Decatur Co Family YMCA,Greensburg Jr/Sr High,Decatur,1000 E Central Ave,Greensburg,47240,3/23/2020,7/31/2020,Brk Lun,MR,12:00 PM to 12:30 PM,(812) 603-2885,skolkmeier@greensburg.k12.in.us,
Decatur Co Family YMCA,Windemere Apartments,Decatur,1300 N Brantford Dr,Greensburg,47240,3/23/2020,7/31/2020,Sup,MR,06:30 PM to 07:00 PM,(812) 663-9622,annab@dcfymca.org,
Decatur County Community Schools,North Decatur Jr.-Sr. High School,Decatur,3172 N SR 3,Greensburg,47240,3/23/2020,5/29/2020,Brk Lun,MW,11:00 AM to 1:00 PM,(812) 663-4595,cdevries@decaturco.k12.in.us,School Webpage with Meal Info
Decatur County Community Schools,South Decatur Jr.-Sr. High School,Decatur,8885 S SR 3,Greensburg,47240,3/23/2020,5/29/2020,Brk Lun,MW,11:00 AM to 1:00 PM,(812) 663-4595,cdevries@decaturco.k12.in.us,School Webpage with Meal Info
DeKalb Co Central United Schools,Ashley Memorial Park,DeKalb,Woodland Ave,Ashley,46705,3/16/2020,5/31/2020,Brk Lun,M,11:00 AM to 01:00 PM,(260) 920-1012,smurray@dekalbentral.net,
DeKalb Co Central United Schools,Country Meadow Elementary School,DeKalb,2410 CR 10,Ashley,46705,3/16/2020,4/27/2020,Brk Lun,M,11:00 AM to 01:00 PM,(260) 920-1013,dharmes@dekalbcentral.net,
DeKalb Co Central United Schools,McKenney-Harrison Elementary,DeKalb,400 South Indiana Ave,Auburn,46706,3/17/2020,5/31/2020,Brk Lun,MT,11:00 AM to 01:00 PM,(260) 920-1012,sstout@dekalbcentral.net,
DeKalb Co Central United Schools,West Edge Mobile Home Park,DeKalb,West Edge Drive,Auburn,46706,3/17/2020,5/31/2020,Brk Lun,MT,11:00 AM to 01:00 PM,(260) 920-1012,twood@dekalbcentral.net,
DeKalb Co Eastern Comm School,Mount Pleasant UMC,DeKalb,4099 cr 59,butler,46721,3/30/2020,5/25/2020,Brk Lun,MR,11:00 AM to 11:30 AM,(262) 868-2186,ktroder@dkeschools.com,
DeKalb Co Central United Schools,Corunna Town Hall,DeKalb,102 n bridge st,corunna,46730,3/17/2020,5/31/2020,Lun ,M,12:00 PM to 02:00 PM,(260) 615-7612,ashroyer@gmail.com,
Hamilton Community Schools,Hamilton Elementary School,DeKalb,903 S Wayne,Hamilton,46742,3/16/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(260) 488-2513,aubrey.gough@hcs.k12.in.us,School Webpage with Meal Info
DeKalb Co Eastern Comm School,Coburn Corners Church of Christ,DeKalb,6813 cr 64,saint joe,46785,3/30/2020,5/24/2020,Brk Lun,MR,10:30 AM to 11:00 AM,(260) 868-2186,ctieman@dkeschools.com,
DeKalb Co Eastern Comm School,Riverdale Elementary School,DeKalb,6127 st road 1,saint joe,46785,3/30/2020,5/25/2020,Brk Lun,MR,10:30 AM to 11:00 AM,(260) 337-5114,dhedges@dkeschools.com,
DeKalb Co Eastern Comm School,Spencerville Community Club,DeKalb,5629 cr 68,Spencerville,46788,3/30/2020,5/25/2020,Brk Lun,MR,10:30 AM to 11:00 AM,(260) 868-2186,,
DeKalb Co Central United Schools,DeKalb Schools Central Office,DeKalb,3326 CR 427,waterloo,46793,3/17/2020,5/31/2020,Brk Lun ,M,12:00 PM to 02:00 PM,(260) 615-7612,ashroyer@deklabcentral.net,
DeKalb Co Central United Schools,Waterloo Elem. School,DeKalb,300 East Douglas Street,Waterloo,46793,3/17/2020,5/31/2020,Brk Lun ,MT,12:00 PM to 02:00 PM,(260) 920-1012,,
DeKalb Co Eastern Comm School,Eastside High School,DeKalb,603 E Green St.,Butler,46721-1119,3/30/2020,5/25/2020,Brk Lun,MR,11:00 AM to 11:30 AM,(260) 868-2186,,
Garrett-Keyser-Butler Community School Corporation,Garrett Middle School,DeKalb,800 E. Houston St,Garrett,46738-1662,3/16/2020,4/10/2020,Brk Sup,M,04:00 PM to 06:00 PM,(260) 357-3117,aleverenz@gkb.k12.in.us,
Muncie Community Schools,Southside High School,Delaware,1601 E. 26th St.,Muncie,47302,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 283-5461,mickelle.mccoy@muncieschools.org,
