sponsorName,siteName,siteAddress,siteState,contactPhone,contactEmail,daysofOperation,meals,lunchTime,uploadNotes,_createdOn,_updatedOn
Fort Wayne Community Schools,Arlington Elementary,8118 St Joe Center Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Harris Elementary,4501 Thorngate Dr	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,Shambaugh Elementary,5320 Rebecca	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Fort Wayne Community Schools,St. Joe Central Elementary,6341 St Joe Center Rd	 Fort Wayne	 Indiana undefined,Indiana,2604672055,candice.hagar@fwcs.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:30 AM to 1:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
St Rose of Lima	 Monroeville,St Rose of Lima,401 Monroe Street	 Monroeville	 Indiana undefined,Indiana,2606233447,cafeteria@strosemonroeville.org,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
St Joseph School,St. Joseph Catholic School,2211 Brooklyn Ave	 Fort Wayne	 Indiana undefined,Indiana,2604324000,cjordan@saintjosephcatholicfw.org,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 12:30 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Concordia Lutheran Grade School,Concordia Lutheran Grade School,4245 Lake Ave	 Fort Wayne	 Indiana undefined,Indiana,2604269922,bjohnson@clscubs.org,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Bartholomew Consolidated Schools,Lillian Schmitt Elementary School,2675 California	 Columbus	 Indiana undefined,Indiana,8123764462,mccroryj@bcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Bartholomew Consolidated Schools,Clifty Creek Elementary School,4625 E 50 N	 Columbus	 Indiana undefined,Indiana,8123764462,moona@bcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Bartholomew Consolidated Schools,Frances Smith Elementary School,4505 waycross dr	 columbus	 Indiana undefined,Indiana,8123764462,burtonb@bcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Flat Rock-Hawcreek School Corp,Hope Community Center,543 Washington St	 Hope	 Indiana undefined,Indiana,8125464499,cchdirector@communitycenterofhope.org,M	 W	 F,Brk Lun,11:15 AM to 11:45 AM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Flat Rock-Hawcreek School Corp,Hope Elementary,9423 N ST RD 9	 HOPE	 Indiana undefined,Indiana,8125464421,,M	 W	 F,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Bartholomew Consolidated Schools,Taylorsville Elementary School,9711 Walnut St	 Taylorsville	 Indiana undefined,Indiana,8123764462,bennettm@bcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
St Peters Lutheran School,St. Peter's Lutheran School,719 5th St.	 Columbus	 Indiana undefined,Indiana,8123725266,lgarrison@stpeters-columbus.org,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Benton Community School Corp,Boswell Elementary School,414 West Main Street	 Boswell	 Indiana undefined,Indiana,7658840654,lstepp@benton.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Benton Community School Corp,Otterbein Elementary School,111 West Oxford Street	 Otterbein	 Indiana undefined,Indiana,7658840654,lstepp@benton.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Benton Community School Corp,Prairie Crossing Elementary School,2758 S 400E	 Oxford	 Indiana undefined,Indiana,7658840654,lstepp@benton.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Benton Community School Corp,Benton Central Jr-Sr High School,4241 E 300S	 Oxford	 Indiana undefined,Indiana,7658840654,lstepp@benton.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Blackford County Schools,Blackford Jr./Sr. High School,2392 N SR 3	 Hartford City	 Indiana undefined,Indiana,7653487564,tteer@blackfordschools.org,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Blackford County Schools,Montpelier School,107 E Monroe St	 Montpelier	 Indiana undefined,Indiana,7657282402,nslentz@blackfordschools.org,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Blackford County Schools,North Side Elementary School,400 E McDonald St	 Hartford City	 Indiana undefined,Indiana,7653487564,tsisler@blackfordschools.org,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Lebanon Community School,Perry Worth Elementary School,3900 E 300 S	 Lebanon	 Indiana undefined,Indiana,7658945154,ricej@leb.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Lebanon Community School,Stokes Elementary School,1005 Hendrick Drive	 Lebanon	 Indiana undefined,Indiana,7658945154,ricej@leb.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Bean Blossom Trailer Court,Bean Blossom Trailer Court Road	 Morgantwon	 Indiana undefined,Indiana,8129886606,,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Helmsburg Elementary School,5378 Helmsburg School Road	 Morgantown	 Indiana undefined,Indiana,8129886651,cbelden@browncountyschools.com,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Sprunica Elementary School,3611 East Sprunica Rd	 Nineveh	 Indiana undefined,Indiana,8129886625,dsanders@broencountyschools.com,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Brown County High School,235 S School House Lane	 Nashville	 Indiana undefined,Indiana,8129885423,,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Forest Hill Apartments,184 Forest Hills Drive	 Nashville	 Indiana undefined,Indiana,8129886606,,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Brown County Schools,Van Buren Elementary School,4045 State Road 135 South	 Nashville	 Indiana undefined,Indiana,8129886658,rback@browncountyschools.com,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 02:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Delphi Community School Corp,Delphi Community High School,301 Armory Road	 Delphi	 Indiana undefined,Indiana,7655643481,brownes@delphi.k12.in.us,M	 W,Brk Lun,11:00 AM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Logansport Community School Corp,Columbia Elementary School,20 East Columbia Street	 Logansport	 Indiana undefined,Indiana,5747533432,bennettli@lcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:00 AM to 12:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Logansport Community School Corp,Logansport High School,One Berry Lane	 Logansport	 Indiana undefined,Indiana,5747530441,helviem@lcsc.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,10:00 AM to 12:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Pioneer Regional School Corp,Pioneer Jr.-Sr. High School,417 S Chicago St	 Royal Center	 Indiana undefined,Indiana,5746433145,floras@pioneer.k12.in.us,Contact school for more information,Brk Lun,Contact school for more information,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Lewis Cass Schools,Lewis Cass High School,6422 E ST RD 218	 Walton	 Indiana undefined,Indiana,5746262511,spencerp@lewiscass.net,M	 T	 W	 Th	 F,Brk Lun,10:00 AM to 12:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
West Clark Community Schools,Borden Elementary,301 West Street	 Borden	 Indiana undefined,Indiana,8122487120,jsinclair@westclarkschools.com,M	 T	 W	 Th	 F,Lun,10:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,Pleasant Ridge Elementary School,1250 Monroe St.	 Charlestown	 Indiana undefined,Indiana,8122567286,,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
West Clark Community Schools,Henryville Elementary School,213 N. Ferguson	 Henryville	 Indiana undefined,Indiana,8122487120,jsinclair@westclarkschools.com,M	 T	 W	 Th	 F,Lun,10:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,Bob Hedge Park,926 French Street	 Jeffersonville	 Indiana undefined,Indiana,8122830701,nturner@gccschools.com,T	 W	 Th	 F	 S,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,Fetter Center,1613 East 10th Street	 Jeffersonville	 Indiana undefined,Indiana,8122830701,nturner@gccschools.com,M	 T	 W	 Th	 F,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,Parkwood Elementary School,748 Spicewood Drive	 Clarksville	 Indiana undefined,Indiana,8122830701,,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,Spring Hill Elementary School,201 E. 15th St.	 Jeffersonville	 Indiana undefined,Indiana,8122884874,,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Greater Clark County Schools,New Washington High School,226 State Road 62 North	 New Washington	 Indiana undefined,Indiana,8122830701,nturner@gccschools.com,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
West Clark Community Schools,Silver Creek Elementary School,503 N. Indiana Ave.	 Sellersburg	 Indiana undefined,Indiana,8122487120,jsinclair@westclarkschools.com,M	 T	 W	 Th	 F,Lun,10:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Clay Community Schools,Meridian Elementary School,410 North Meridian	 Brazil	 Indiana undefined,Indiana,8124434461,wooleryp@clay.k12.in.us,T,Brk Lun,9:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Clay Community Schools,Forest Park Elementary School,800 South Alabama Street	 Brazil	 Indiana undefined,Indiana,8124434461,wooleryp@clay.k12.in.us,T,Brk Lun,9:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Clay Community Schools,Clay City Elementary School,681 North Lankford Street	 Clay City	 Indiana undefined,Indiana,8124434461,wooleryp@clay.k12.in.us,T,Brk Lun,9:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Community Schools of Frankfort,Blue Ridge Elementary School,1900 S Jackson St	 Frankfort	 Indiana undefined,Indiana,7656593233,goodee@frankfort.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Community Schools of Frankfort,Frankfort High School,One Maish Road	 Frankfort	 Indiana undefined,Indiana,7656548845,FoustR@frankfort.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Clinton Central School Corp,Clinton Central Elementary School,725 North State Road 29	 Michigantown	 Indiana undefined,Indiana,7652492244,tina.crum@clinton.k12.in.us,M	 W,Brk Sup,04:30 PM to 06:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Community Schools of Frankfort,Suncrest Elementary School,1608 W Kyger Street	 Frankfort	 Indiana undefined,Indiana,7656596265,barnesm@frankfort.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,11:00 AM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,West Crawford Elementary School,5600 West Patoka School Road	 Eckerty	 Indiana undefined,Indiana,8123382916,SHOWE@CCCS.K12.IN.US,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,English Elementary School,608 E 5th Street	 English	 Indiana undefined,Indiana,8123659412,,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,South Crawford Elementary School,930 IN-62	 Leavenworth	 Indiana undefined,Indiana,8127392210,BLAHUE@CCCS.K12.IN.US,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,Crawford County High School,1130 S STATE ROAD 66	 MARENGO	 Indiana undefined,Indiana,8123652125,LPURCELL@CCCS.K12.IN.US,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,Crawford County Middle School,177 S SECOND STREET	 MARENGO	 Indiana undefined,Indiana,8123652116,KBIRKLA1@CCCS.K12.IN.US,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Crawford County Community Schools,East Crawford Elementary School,518 E. Speed Rd.	 Milltown	 Indiana undefined,Indiana,8126334335,KPEARSON@CCCS.K12.IN.US,M,Brk Lun,12:00 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
North Daviess Community Schools,North Daviess Elementary,5498 E. State Road 58	 Elnora	 Indiana undefined,Indiana,8126368000,stoner-timothy@aramark.com,T	 Th,Brk Lun,11:00 AM to 1:00 PM,School Webpage with Meal Info,2020-04-04 12:05:28,2020-04-04 12:05:28
Lawrenceburg Community School Corp,Central Elementary School,500 Short Street	 Lawrenceburg	 Indiana undefined,Indiana,8125377289,cquicksall@lburg.k12.in.us,M	 T	 W	 Th	 F,Brk Lun,12:05 PM to 01:00 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
Decatur Co Family YMCA,Decatur Co Family YMCA,1 YMCA Way	 Greensburg	 Indiana undefined,Indiana,8126639622,annab@dcfymca.org,M	 Th,Brk Lun,12:00 PM to 12:30 PM,,2020-04-04 12:05:28,2020-04-04 12:05:28
